IPO_Name,Listing_Gain_Pct,Current_Gain_Pct,Predicted_Gain,Prob_Positive,Invest_Flag,Hold_Better_Than_Flip,Flip_Hold_Strategy,IPO_Quality_Score,Score_Category,Dominant_Investor
IndiGrid Infrastructure Fund,0.0,57.89,-0.18704551255398935,0.2587,0,1,Hold,0.16385734765203713,Weak,HNI_Dominant
Tejas Networks Ltd,0.0,117.57,-1.4192453038013602,0.1842,0,1,Hold,0.13126123995638375,Weak,RII_Dominant
ERIS Lifesciences Ltd,1.49,179.0,-3.681645073415076,0.2146,0,1,Hold,0.1300883390079017,Weak,QIB_Dominant
Central Depository Services Ltd,67.79,,68.52613851104097,1.0,1,0,Flip,0.4687148629260079,Strong,HNI_Dominant
GTPL Hathway Ltd,0.0,-30.65,-0.5379219367537412,0.1895,0,0,Flip,0.21769513230376808,Moderate,HNI_Dominant
AU Small Finance Bank Ltd,46.65,104.86,40.3666091693044,0.9841,1,1,Hold,0.31633103472693963,Strong,HNI_Dominant
Salasar Techno Engineering Ltd,139.95,-93.47,42.84117071746709,0.8302,1,0,Flip,0.14173860599557286,Weak,RII_Dominant
SIS Ltd,7.36,-54.85,7.174396166686909,0.5553,0,0,Flip,0.11411774701080293,Weak,RII_Dominant
Cochin Shipyard Ltd,0.69,283.09,28.733200910437045,0.9747,1,1,Hold,0.3759131516510771,Strong,HNI_Dominant
Apex Frozen Foods Ltd,14.23,33.4,4.770432792284379,0.6315,0,1,Hold,0.1809594260833728,Weak,RII_Dominant
Dixon Technologies (India) Ltd,54.3,801.7,53.04476727981601,0.9977,1,1,Hold,0.4023339577451715,Strong,HNI_Dominant
Bharat Road Network Ltd,-0.05,-91.02,0.9009580495791285,0.2731,0,0,Flip,0.13913656022686155,Weak,RII_Dominant
Matrimony.com Ltd,0.0,-48.16,7.499897225301502,0.3142,0,0,Flip,0.08643187984213249,Weak,RII_Dominant
Capacit'e Infraprojects Ltd,59.6,16.4,68.7419555682852,0.9964,1,0,Flip,0.48979664171861664,Strong,HNI_Dominant
ICICI Lombard General Insurance Company Ltd,-1.66,187.07,-1.0696592472641635,0.2084,0,1,Hold,0.17189576193877262,Weak,QIB_Dominant
SBI Life Insurance Company Ltd,4.76,163.31,4.5924749209296145,0.7131,0,1,Hold,0.19157770845105837,Weak,QIB_Dominant
Prataap Snacks Ltd,33.26,-3.58,26.145040934873528,0.9799,1,0,Flip,0.30722986825418125,Strong,HNI_Dominant
Godrej Agrovet Ltd,35.0,72.8,40.66775315963767,0.9956,1,1,Hold,0.3622361116093516,Strong,HNI_Dominant
MAS Financial Services Ltd,43.79,-34.24,51.967788568939696,1.0,1,0,Flip,0.418289359444854,Strong,HNI_Dominant
